gsc,hs
v_f,080270
v_f,080261
v_f,080131
v_f,080719
v_f,080310
v_f,080590
v_f,070930
v_f,120991
v_f,0702
v_f,080290
v_f,0713
v_f,070920
v_f,080830
v_f,0701
v_f,0804
v_f,080550
v_f,070951
v_f,070960
v_f,0705
v_f,080251
v_f,080921
v_f,070993
v_f,080810
v_f,080840
v_f,120999
v_f,0703
v_f,070999
v_f,080610
v_f,080711
v_f,070959
v_f,0810
v_f,0706
v_f,0707
v_f,080720
v_f,080221
v_f,080521
v_f,080910
v_f,080121
v_f,080929
v_f,080940
v_f,080211
v_f,0704
v_f,080231
v_f,0714
v_f,080522
v_f,080529
v_f,080540
v_f,121292
v_f,070991
v_f,080280
v_f,070940
vol,151550
vol,151519
vol,230620
vol,230690
vol,151610
vol,230610
vol,1513
vol,151491
vol,1507
vol,150190
vol,020990
vol,230630
vol,150210
vol,151590
vol,150290
vol,151620
vol,151511
vol,230641
vol,1506
vol,1522
vol,151499
vol,150110
vol,152110
vol,2304
vol,230650
vol,151000
vol,151529
vol,2305
vol,020910
vol,151521
vol,150990
vol,150910
vol,151411
vol,1512
vol,1508
vol,150500
vol,1503
vol,1208
vol,1504
vol,140420
vol,1511
vol,151530
vol,1517
vol,150120
vol,151419
vol,230660
vol,230649
wht,100111
wht,100119
wht,100191
wht,100199
wol,5001
wol,510111
wol,510219
wol,510220
wol,510119
wol,510211
bph,293729
bph,293980
bph,293626
bph,292419
bph,300120
bph,293319
bph,293590
bph,293919
bph,293961
bph,293941
bph,300442
bph,293622
bph,293353
bph,293962
bph,293355
bph,293750
bph,300460
bph,292411
bph,300449
bph,293969
bph,300339
bph,300420
bph,293719
bph,293624
bph,293352
bph,300432
bph,293979
bph,300349
bph,300439
bph,300190
bph,291821
bph,293949
bph,293943
bph,293690
bph,293790
bph,293623
bph,292425
bph,300211
bph,293550
bph,293959
bph,293359
bph,293321
bph,2941
bph,292423
bph,300220
bph,293430
bph,3005
bph,300342
bph,300212
bph,293711
bph,300320
bph,293311
bph,2923
bph,293369
bph,293220
bph,293722
bph,293930
bph,300410
bph,300214
bph,300630
