buying_sector,input_sector,inventory_duration_target
UTI,TRA,12.4
UTI,UTI,8.128093112244898
UTI,IMP,12.4
AGR,ACF,2.7019292091836737
AGR,AGR,6.869766763848396
AGR,CON,2.730952380952381
AGR,EDU,12.125
AGR,FIN,4.285714285714286
AGR,HEA,14.368434650455926
AGR,MAN,8.597036748282138
AGR,MIN,1.1273809523809524
AGR,OTH,11.21825396825397
AGR,PRO,16.380952380952383
AGR,PUB,10.619047619047619
AGR,TIC,15.200083542188807
AGR,TRA,8.086007768958213
AGR,UTI,3.856186224489796
AGR,IMP,8.115522163880788
MIN,ACF,2.7019292091836737
MIN,AGR,6.869766763848396
MIN,CON,2.730952380952381
MIN,EDU,12.125
MIN,FIN,4.285714285714286
MIN,HEA,14.368434650455926
MIN,MAN,8.597036748282138
