buying_sector,input_sector,inventory_duration_target
ADP,REF,11.214285714285714
ADP,RES,6.602895615356431
ADP,SAL,12.252837362197596
ADP,SEG,7.462606359158083
ADP,SIL,7.669054771856496
ADP,TAB,7.669054771856496
ADP,TEL,13.142857142857142
ADP,TRA,11.13974921630094
ADP,VES,11.214285714285714
ADP,VID,11.214285714285714
ADP,REP,10.639498432601881
ADP,INM,10.639498432601881
ADP,IMP,10.639498432601881
AGU,ADM,14.39047619047619
AGU,ADP,11.50952380952381
AGU,AGU,8.070535714285715
AGU,ALD,10.62761858533607
AGU,ASO,14.00952380952381
AGU,AYG,8.549305555555556
AGU,AZU,8.549305555555556
AGU,BAL,10.62761858533607
AGU,BNA,10.62761858533607
AGU,CAN,8.549305555555556
AGU,CAR,10.62761858533607
AGU,CAU,10.62761858533607
AGU,CEM,6.967290249433106
AGU,CER,8.549305555555556
AGU,CHO,10.62761858533607
AGU,CIN,8.549305555555556
AGU,COM,12.4
AGU,CON,7.397440476190476
AGU,CUE,10.62761858533607
AGU,CUL,8.549305555555556
AGU,DEM,10.62761858533607
AGU,DOM,10.200000000000001
AGU,EDU,11.170238095238094
AGU,ELE,7.949285714285714
AGU,FID,10.62761858533607
AGU,FIN,8.342857142857143
AGU,FRT,8.549305555555556
AGU,FRV,8.549305555555556
AGU,GAN,8.549305555555556
AGU,HIL,10.62761858533607
AGU,HOT,7.4831463990554905
AGU,LAC,8.549305555555556
AGU,MAD,10.62761858533607
AGU,MAN,10.62761858533607
AGU,MAQ,10.62761858533607
AGU,MET,10.62761858533607
AGU,MIP,6.967290249433106
AGU,MOL,10.62761858533607
AGU,MUE,10.62761858533607
AGU,PAN,10.62761858533607
AGU,PAP,10.62761858533607
AGU,PES,8.549305555555556
AGU,PLS,10.62761858533607
AGU,POS,12.019999999999998
AGU,PPR,8.549305555555556
AGU,QU1,10.62761858533607
AGU,QU2,10.62761858533607
AGU,REF,10.62761858533607
AGU,RES,7.4831463990554905
AGU,SAL,13.133088145896656
AGU,SEG,8.342857142857143
AGU,SIL,8.549305555555556
AGU,TAB,8.549305555555556
AGU,TEL,15.217676767676766
AGU,TRA,12.019999999999998
AGU,VES,10.62761858533607
AGU,VID,10.62761858533607
AGU,REP,12.4
AGU,INM,12.4
AGU,IMP,12.4
ASO,ADM,4.285714285714286
ASO,ADP,5.845151515151515
ASO,AGU,2.40616341991342
ASO,ALD,0.8571428571428571
ASO,ASO,8.345151515151516
ASO,AYG,2.8849332611832614
ASO,AZU,2.8849332611832614
ASO,BAL,0.8571428571428571
ASO,BNA,0.8571428571428571
ASO,CAN,2.8849332611832614
ASO,CAR,0.8571428571428571
ASO,CAU,0.8571428571428571
ASO,CEM,0.42857142857142855
ASO,CER,2.8849332611832614
ASO,CHO,0.8571428571428571
ASO,CIN,2.8849332611832614
ASO,COM,4.423376623376623
ASO,CON,1.7330681818181817
ASO,CUE,0.8571428571428571
ASO,CUL,2.8849332611832614
ASO,DEM,0.8571428571428571
ASO,DOM,4.5356277056277055
ASO,EDU,5.5058658008658
ASO,ELE,2.28491341991342
ASO,FID,0.8571428571428571
ASO,FIN,2.6784848484848487
ASO,FRT,2.8849332611832614
ASO,FRV,2.8849332611832614
ASO,GAN,2.8849332611832614
ASO,HIL,0.8571428571428571
ASO,HOT,1.0
ASO,LAC,2.8849332611832614
ASO,MAD,0.8571428571428571
ASO,MAN,0.8571428571428571
ASO,MAQ,0.8571428571428571
ASO,MET,0.8571428571428571
ASO,MIP,0.42857142857142855
ASO,MOL,0.8571428571428571
ASO,MUE,0.8571428571428571
ASO,PAN,0.8571428571428571
ASO,PAP,0.8571428571428571
ASO,PES,2.8849332611832614
ASO,PLS,0.8571428571428571
ASO,POS,6.355627705627705
ASO,PPR,2.8849332611832614
ASO,QU1,0.8571428571428571
ASO,QU2,0.8571428571428571
ASO,REF,0.8571428571428571
ASO,RES,1.0
ASO,SAL,7.468715851524363
ASO,SEG,2.6784848484848487
ASO,SIL,2.8849332611832614
ASO,TAB,2.8849332611832614
ASO,TEL,9.553304473304474
ASO,TRA,6.355627705627705
ASO,VES,0.8571428571428571
ASO,VID,0.8571428571428571
ASO,REP,1.0712554112554113
ASO,INM,1.0712554112554113
ASO,IMP,1.0712554112554113
AYG,ADM,16.297435897435896
AYG,ADP,13.416483516483519
AYG,AGU,9.977495421245422
AYG,ALD,25.714285714285715
AYG,ASO,15.916483516483519
AYG,AYG,0.6571428571428571
AYG,AZU,0.6571428571428571
AYG,BAL,25.714285714285715
AYG,BNA,25.714285714285715
AYG,CAN,0.6571428571428571
AYG,CAR,25.714285714285715
AYG,CAU,25.714285714285715
AYG,CEM,8.874249956392815
AYG,CER,0.6571428571428571
AYG,CHO,25.714285714285715
AYG,CIN,0.6571428571428571
AYG,COM,6.0
AYG,CON,9.304400183150182
AYG,CUE,25.714285714285715
AYG,CUL,0.6571428571428571
AYG,DEM,25.714285714285715
AYG,DOM,12.106959706959708
AYG,EDU,13.077197802197803
AYG,ELE,9.856245421245422
AYG,FID,25.714285714285715
AYG,FIN,10.24981684981685
AYG,FRT,0.6571428571428571
AYG,FRV,0.6571428571428571
AYG,GAN,0.6571428571428571
AYG,HIL,25.714285714285715
AYG,HOT,9.390106106015198
AYG,LAC,0.6571428571428571
AYG,MAD,25.714285714285715
AYG,MAN,25.714285714285715
AYG,MAQ,25.714285714285715
AYG,MET,25.714285714285715
