,,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,ECU,AFR,ASI,CAR,COL,EUR,NAM,OCE,PER,SAM
,,ADM,ADP,AGU,ALD,ASO,AYG,AZU,BAL,BNA,CAN,CAR,CAU,CEM,CER,CHO,CIN,COM,CON,CUE,CUL,DEM,DOM,EDU,ELE,FID,FIN,FRT,FRV,GAN,HIL,HOT,INM,LAC,MAD,MAN,MAQ,MET,MIP,MOL,MUE,PAN,PAP,PES,PLS,POS,PPR,QU1,QU2,REF,REP,RES,SAL,SEG,SIL,TAB,TEL,TRA,VES,VID,final_demand,exports,exports,exports,exports,exports,exports,exports,exports,exports
ECU,CUL,80.0,76.0,6.0,74.0,66.0,111.0,12.0,54.0,52.0,62.0,472.0,9.0,114.0,12168.0,107.0,25598.0,144.0,1540.0,32.0,4.0,84.0,0.0,78.0,102.0,17.0,18.0,97076.0,141589.0,77818.0,57.0,26.0,16.0,187.0,251.0,58.0,180.0,125.0,153.0,115.0,89.0,111.0,78.0,124.0,69.0,1.0,603.0,23.0,92.0,91.0,13.0,197.0,211.0,5.0,70.0,2.0,47.0,253.0,87.0,20.0,6589.0,10.852267191722099,113.04840272370278,57.16816492339747,35.82926692685854,212.3003984544859,325.1586707862524,3.539332429582322,49.00949421321274,10.09400235078574
ECU,DEM,2983.0,211.0,34.0,2890.0,4128.0,175.0,24.0,495.0,96.0,99.0,775.0,28.0,999.0,35.0,169.0,39.0,227.0,232410.0,205.0,6.0,16208.0,0.0,240.0,919.0,28.0,673.0,213.0,57.0,199.0,124.0,288.0,26.0,297.0,1645.0,1479.0,17857.0,9592.0,36487.0,183.0,3153.0,179.0,535.0,552.0,272.0,2.0,53880.0,294.0,5451.0,2621.0,20.0,6244.0,1047.0,33.0,19.0,3.0,11254.0,421.0,406.0,7009.0,792008.0,3210.8695211883396,2753.4159331768383,2339.8166187308034,14028.460866284133,2836.878052233524,10948.466119344812,196.24613671443413,15290.456200172901,4260.390552154216
ECU,DOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,EDU,1426.0,18.0,1.0,17.0,3118.0,26.0,3.0,12.0,12.0,14.0,109.0,2.0,27.0,3.0,25.0,5.0,33.0,746.0,7.0,1.0,20.0,0.0,18.0,24.0,4.0,10429.0,31.0,4.0,29.0,13.0,728.0,466.0,43.0,58.0,13.0,41.0,29.0,1272.0,27.0,21.0,26.0,18.0,29.0,16.0,0.0,140.0,5.0,21.0,21.0,3.0,1031.0,49.0,826.0,3.0,1.0,11.0,71.0,20.0,5.0,6329487.0,2.5237830678423485,26.2903262148146,13.294922075208714,8.332387657408962,49.37218568708975,75.6182955316866,0.8231005650191446,11.397556793770404,2.3474424071594746
ECU,ELE,36074.0,50458.0,4470.0,7926.0,19722.0,5507.0,8925.0,5569.0,1779.0,757.0,25010.0,1303.0,40896.0,960.0,2334.0,9091.0,95234.0,22719.0,1957.0,1449.0,6311.0,0.0,19880.0,1292106.0,1142.0,22067.0,7763.0,8970.0,27850.0,11551.0,13190.0,7785.0,3344.0,7210.0,16689.0,12972.0,9505.0,147029.0,2283.0,2704.0,2232.0,12313.0,7011.0,20889.0,702.0,26308.0,3427.0,5044.0,2484.0,955.0,18097.0,23351.0,3098.0,110.0,35.0,99726.0,43147.0,2884.0,8976.0,1409402.0,0.0,0.0,0.0,37056.74476724985,0.0,0.0,0.0,186.25523275014842,0.0
ECU,FID,26.0,28.0,4.0,43.0,63.0,45.0,4.0,28.0,31.0,108.0,167.0,5.0,79.0,20.0,44.0,44.0,58.0,497.0,13.0,48.0,27.0,0.0,2485.0,52.0,71.0,85.0,60.0,37.0,113.0,19.0,2817.0,28.0,70.0,84.0,21.0,59.0,42.0,260.0,217.0,31.0,67.0,25.0,134.0,23.0,0.0,297.0,8.0,38.0,40.0,6.0,11737.0,637.0,4.0,18.0,1.0,46.0,109.0,31.0,17.0,113706.0,0.0,169.67654025605546,425.0435876797892,103.07357321763612,1647.1215243513623,6906.674577666541,14.770681154546574,55.63951567407049,0.0
ECU,FIN,90841.0,106773.0,4884.0,13170.0,6887.0,27160.0,10246.0,10201.0,2694.0,3023.0,29197.0,2814.0,28970.0,4221.0,21476.0,5863.0,601762.0,158841.0,4930.0,5408.0,18679.0,0.0,5236.0,28875.0,1074.0,248515.0,5187.0,19058.0,14170.0,6696.0,11476.0,145726.0,13629.0,12493.0,1470.0,31460.0,12190.0,23226.0,9670.0,4389.0,32536.0,18431.0,20099.0,14571.0,4953.0,49269.0,4574.0,17541.0,1595.0,1901.0,11749.0,3123.0,196536.0,732.0,607.0,108443.0,203308.0,3831.0,6654.0,1637439.0,157.08557137001904,1636.3652516652498,827.5039392706224,518.6253496658862,3073.0287786080175,4706.64191030382,51.23151201008634,709.4079297006779,146.10975740562077
ECU,FRT,257.0,463.0,20.0,25270.0,210.0,356.0,39.0,92086.0,167.0,217.0,1526.0,28.0,366.0,39.0,118192.0,66.0,461.0,4930.0,101.0,12.0,270.0,0.0,1550.0,327.0,55.0,57.0,148343.0,56.0,1957.0,183.0,87.0,51.0,599.0,803.0,184.0,576.0,402.0,490.0,2657.0,285.0,356.0,250.0,396.0,222.0,4.0,1950.0,74.0,295.0,291.0,41.0,1099.0,1416.0,17.0,39.0,7.0,149.0,809.0,280.0,64.0,418818.0,106550.18879087866,503524.6394378829,144968.58841792957,4268.802433726759,1412804.1956851769,398078.0224084973,33415.75441603259,6.556656483393387,9274.251753391945
ECU,FRV,141.0,481.0,11.0,41469.0,115.0,195.0,21.0,129.0,956.0,157.0,827.0,15.0,201.0,21.0,190.0,36.0,252.0,2701.0,56.0,7.0,148.0,0.0,2400.0,179.0,30.0,31.0,232.0,2717.0,217.0,100.0,6993.0,28.0,757.0,439.0,101.0,315.0,220.0,269.0,1325.0,156.0,1580.0,137.0,216.0,121.0,2.0,1055.0,40.0,162.0,159.0,23.0,50580.0,6161.0,10.0,22.0,4.0,81.0,444.0,154.0,35.0,1217143.0,1094.2195056387393,101236.53280250641,28074.05804808443,13038.31233755693,382502.93748188386,471471.60603744444,8255.784591521558,3827.002636621754,7032.546558741935
ECU,GAN,42.0,68.0,3.0,448.0,961.0,58.0,6.0,32.0,27.0,32.0,1045502.0,5.0,60.0,6.0,555.0,11.0,76.0,808.0,22747.0,2.0,44.0,0.0,945.0,54.0,598.0,9.0,69.0,10.0,62697.0,861.0,132.0,8.0,392131.0,132.0,30.0,94.0,66.0,81.0,714.0,47.0,9088.0,41.0,65.0,36.0,1.0,315.0,12.0,48.0,48.0,7.0,6350.0,569.0,3.0,6.0,1.0,24.0,133.0,46.0,10.0,1038624.0,0.22153616363109546,34.59128954982676,0.0,3.0413750464211815,305.65660976415995,1206.837240194418,0.0,0.0,0.651949281542938
