region_sector,share_exporting_firms,usd_per_ton,sector,type,region
UZB_B_T,0.0227810404675977,33521.17523748388,B,manufacturing,UZB
ARM_CHM,0.1706632998617642,5066.417555834055,CHM,manufacturing,ARM
AZE_CHM,0.7542868664827664,731.8467429863402,CHM,manufacturing,AZE
Africa_CHM,0.2443761973627506,557.239791815839,CHM,manufacturing,Africa
America_CHM,0.2136223796531485,2304.616341156607,CHM,manufacturing,America
Asia_CHM,0.2180157406807701,1155.0734417428826,CHM,manufacturing,Asia
CHN_CHM,0.1277219047912053,1436.324216984216,CHM,manufacturing,CHN
Europe_CHM,0.2059239217615724,1574.3634852981984,CHM,manufacturing,Europe
GEO_CHM,0.815082648236999,687.354028957228,CHM,manufacturing,GEO
KAZ_CHM,0.7988701962325896,2279.3074148124465,CHM,manufacturing,KAZ
KGZ_CHM,0.376993028032396,3066.887900891444,CHM,manufacturing,KGZ
North America_CHM,0.1711884686546067,1214.076216045066,CHM,manufacturing,North America
Oceania_CHM,0.2089616700089811,1570.3669145047402,CHM,manufacturing,Oceania
RUS_CHM,0.4303242465662565,401.2770102847078,CHM,manufacturing,RUS
South America_CHM,0.0609130948165543,992.4252129098072,CHM,manufacturing,South America
TJK_CHM,0.4652070544679963,16059.698645648592,CHM,manufacturing,TJK
TKM_CHM,0.5960010658323607,409.0726576455775,CHM,manufacturing,TKM
TUR_CHM,0.253855040675072,787.2568417935344,CHM,manufacturing,TUR
UZB_CHM,0.5485410249914632,1189.4897215076446,CHM,manufacturing,UZB
ARM_CMT,0.1125275205991616,4775.65898794951,CMT,manufacturing,ARM
AZE_CMT,0.0275437147417489,6317.6041612676345,CMT,manufacturing,AZE
Africa_CMT,0.0094545009519908,4873.54878152084,CMT,manufacturing,Africa
America_CMT,0.0169989216251921,5370.3007030221215,CMT,manufacturing,America
Asia_CMT,0.0171334923203553,2949.1051395674767,CMT,manufacturing,Asia
CHN_CMT,0.0104912956577995,9151.144277254583,CMT,manufacturing,CHN
Europe_CMT,0.0177532687548785,3090.9158516133366,CMT,manufacturing,Europe
GEO_CMT,0.1404379436018002,4405.450711821193,CMT,manufacturing,GEO
KAZ_CMT,0.0094851584328944,4221.457362257165,CMT,manufacturing,KAZ
KGZ_CMT,0.1486471590761742,2106.965013838718,CMT,manufacturing,KGZ
North America_CMT,0.0514336808464316,3741.0868661608415,CMT,manufacturing,North America
Oceania_CMT,0.4450656539245091,4943.834019505094,CMT,manufacturing,Oceania
RUS_CMT,0.8614617612688497,1748.2199850894076,CMT,manufacturing,RUS
South America_CMT,0.1353205108032544,3755.651426717073,CMT,manufacturing,South America
TJK_CMT,0.0095234041891904,5370.3007030221215,CMT,manufacturing,TJK
TKM_CMT,0.9670951285182022,5522.55081628729,CMT,manufacturing,TKM
TUR_CMT,0.0111108576980755,10426.816470878335,CMT,manufacturing,TUR
UZB_CMT,0.0082072474464586,13894.80137662544,CMT,manufacturing,UZB
ARM_CNS,0.11224891592528,47995.246938899276,CNS,construction,ARM
AZE_CNS,0.0076504408677434,8527.720815619059,CNS,construction,AZE
Africa_CNS,0.0103411460071806,2447381.3800401483,CNS,construction,Africa
America_CNS,0.0243847960695358,83048289.78771599,CNS,construction,America
Asia_CNS,0.0047110498275698,1121352945.9180496,CNS,construction,Asia
CHN_CNS,0.0048558744951396,4642.8896141806745,CNS,construction,CHN
Europe_CNS,0.0069016183166301,189902890.94550696,CNS,construction,Europe
GEO_CNS,0.0046408324833148,16461.739884700837,CNS,construction,GEO
KAZ_CNS,0.0038577244585892,4188641.370263311,CNS,construction,KAZ
KGZ_CNS,0.0458334024251698,20356.00387753537,CNS,construction,KGZ
North America_CNS,0.0027474433536125,374302.1463208725,CNS,construction,North America
Oceania_CNS,0.0014265481740563,18625.925470990216,CNS,construction,Oceania
RUS_CNS,0.7970017059117692,13654.262710443645,CNS,construction,RUS
South America_CNS,0.0023340493519074,9954.88791789424,CNS,construction,South America
TJK_CNS,0.0200821460271238,98024.37903017343,CNS,construction,TJK
TKM_CNS,0.9501056102634674,77761.7632668885,CNS,construction,TKM
TUR_CNS,0.0213273487278179,5861.18143166147,CNS,construction,TUR
UZB_CNS,0.0120278567795921,33521.17523748388,CNS,construction,UZB
ARM_COA,0.0002316759561023,85.56762982539958,COA,mining,ARM
AZE_COA,0.018653183426294,81.64869541286609,COA,mining,AZE
Africa_COA,0.3068951033572603,64.02093578152095,COA,mining,Africa
America_COA,0.0097951923719342,85.56762982539958,COA,mining,America
Asia_COA,0.1571191107384254,57.29424651698473,COA,mining,Asia
CHN_COA,0.0029824473204116,140.60429399414093,COA,mining,CHN
Europe_COA,0.0028679215884164,109.73901412101978,COA,mining,Europe
GEO_COA,0.006709540806576,95.48958439904824,COA,mining,GEO
KAZ_COA,0.2077288355505854,25.08622419368833,COA,mining,KAZ
KGZ_COA,0.4046382655617923,20.847575561905952,COA,mining,KGZ
North America_COA,0.2355881871276805,114.36095750595828,COA,mining,North America
Oceania_COA,0.8672650107158131,119.22303120211522,COA,mining,Oceania
RUS_COA,0.5892739474678096,76.52711603023981,COA,mining,RUS
South America_COA,0.7316871535609585,64.54431906477781,COA,mining,South America
TJK_COA,0.0079404205266682,64.83801372489674,COA,mining,TJK
TKM_COA,0.7709370338911449,85.56762982539958,COA,mining,TKM
TUR_COA,0.0028816409753041,163.72281004643125,COA,mining,TUR
UZB_COA,5.040374502694207e-06,85.56762982539958,COA,mining,UZB
ARM_CTL,0.0427938841350836,2259.1580753880007,CTL,agriculture,ARM
AZE_CTL,0.0047114418283802,599.6152372255344,CTL,agriculture,AZE
Africa_CTL,0.0242736087935615,6913.528401493852,CTL,agriculture,Africa
America_CTL,0.0110597696381043,4947.829446034507,CTL,agriculture,America
Asia_CTL,0.000542472684964,2782.8449224649203,CTL,agriculture,Asia
CHN_CTL,0.0001119875715429,3723.090276028972,CTL,agriculture,CHN
Europe_CTL,0.0510661602521338,5214.098889976924,CTL,agriculture,Europe
GEO_CTL,0.4441346773400446,1715.4656167089731,CTL,agriculture,GEO
KAZ_CTL,0.000860121057898,1948.1565770923053,CTL,agriculture,KAZ
KGZ_CTL,0.0192443969163026,3110.267047703287,CTL,agriculture,KGZ
