,sector,supply_data,cutoff,coverage
262,AUT_Mining and Quarrying,USD,0,1
263,AUT_Food & Beverages,USD,0,1
264,AUT_Textiles and Wearing Apparel,USD,0,1
265,AUT_Wood and Paper,USD,0,1
266,"AUT_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
267,AUT_Metal Products,USD,0,1
268,AUT_Electrical and Machinery,USD,0,1
269,AUT_Transport Equipment,USD,0,1
270,AUT_Other Manufacturing,USD,0,1
271,AUT_Recycling,USD,0,1
272,"AUT_Electricity, Gas and Water",USD,0,1
273,AUT_Construction,USD,0,1
274,AUT_Maintenance and Repair,USD,0,1
275,AUT_Wholesale Trade,USD,0,1
276,AUT_Retail Trade,USD,0,1
277,AUT_Hotels and Restraurants,USD,0,1
278,AUT_Transport,USD,0,1
279,AUT_Post and Telecommunications,USD,0,1
280,AUT_Finacial Intermediation and Business Activities,USD,0,1
281,AUT_Public Administration,USD,0,1
282,"AUT_Education, Health and Other Services",USD,0,1
283,AUT_Private Households,USD,0,1
284,AUT_Others,USD,0,1
285,AUT_Re-export & Re-import,USD,0,1
286,AZE_Agriculture,USD,0,1
287,AZE_Fishing,USD,0,1
288,AZE_Mining and Quarrying,USD,0,1
289,AZE_Food & Beverages,USD,0,1
290,AZE_Textiles and Wearing Apparel,USD,0,1
291,AZE_Wood and Paper,USD,0,1
292,"AZE_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
293,AZE_Metal Products,USD,0,1
294,AZE_Electrical and Machinery,USD,0,1
295,AZE_Transport Equipment,USD,0,1
296,AZE_Other Manufacturing,USD,0,1
297,AZE_Recycling,USD,0,1
298,"AZE_Electricity, Gas and Water",USD,0,1
299,AZE_Construction,USD,0,1
300,AZE_Maintenance and Repair,USD,0,1
301,AZE_Wholesale Trade,USD,0,1
302,AZE_Retail Trade,USD,0,1
303,AZE_Hotels and Restraurants,USD,0,1
304,AZE_Transport,USD,0,1
305,AZE_Post and Telecommunications,USD,0,1
306,AZE_Finacial Intermediation and Business Activities,USD,0,1
307,AZE_Public Administration,USD,0,1
308,"AZE_Education, Health and Other Services",USD,0,1
309,AZE_Private Households,USD,0,1
310,AZE_Others,USD,0,1
311,AZE_Re-export & Re-import,USD,0,1
312,BHS_Agriculture,USD,0,1
313,BHS_Fishing,USD,0,1
314,BHS_Mining and Quarrying,USD,0,1
315,BHS_Food & Beverages,USD,0,1
316,BHS_Textiles and Wearing Apparel,USD,0,1
317,BHS_Wood and Paper,USD,0,1
318,"BHS_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
319,BHS_Metal Products,USD,0,1
320,BHS_Electrical and Machinery,USD,0,1
321,BHS_Transport Equipment,USD,0,1
322,BHS_Other Manufacturing,USD,0,1
323,BHS_Recycling,USD,0,1
324,"BHS_Electricity, Gas and Water",USD,0,1
325,BHS_Construction,USD,0,1
326,BHS_Maintenance and Repair,USD,0,1
327,BHS_Wholesale Trade,USD,0,1
328,BHS_Retail Trade,USD,0,1
329,BHS_Hotels and Restraurants,USD,0,1
330,BHS_Transport,USD,0,1
331,BHS_Post and Telecommunications,USD,0,1
332,BHS_Finacial Intermediation and Business Activities,USD,0,1
333,BHS_Public Administration,USD,0,1
334,"BHS_Education, Health and Other Services",USD,0,1
335,BHS_Private Households,USD,0,1
336,BHS_Others,USD,0,1
337,BHS_Re-export & Re-import,USD,0,1
338,BHR_Agriculture,USD,0,1
339,BHR_Fishing,USD,0,1
340,BHR_Mining and Quarrying,USD,0,1
341,BHR_Food & Beverages,USD,0,1
342,BHR_Textiles and Wearing Apparel,USD,0,1
343,BHR_Wood and Paper,USD,0,1
344,"BHR_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
345,BHR_Metal Products,USD,0,1
346,BHR_Electrical and Machinery,USD,0,1
347,BHR_Transport Equipment,USD,0,1
348,BHR_Other Manufacturing,USD,0,1
349,BHR_Recycling,USD,0,1
350,"BHR_Electricity, Gas and Water",USD,0,1
351,BHR_Construction,USD,0,1
352,BHR_Maintenance and Repair,USD,0,1
353,BHR_Wholesale Trade,USD,0,1
354,BHR_Retail Trade,USD,0,1
355,BHR_Hotels and Restraurants,USD,0,1
356,BHR_Transport,USD,0,1
357,BHR_Post and Telecommunications,USD,0,1
358,BHR_Finacial Intermediation and Business Activities,USD,0,1
359,BHR_Public Administration,USD,0,1
360,"BHR_Education, Health and Other Services",USD,0,1
361,BHR_Private Households,USD,0,1
362,BHR_Others,USD,0,1
363,BHR_Re-export & Re-import,USD,0,1
364,BGD_Agriculture,USD,0,1
365,BGD_Fishing,USD,0,1
366,BGD_Mining and Quarrying,USD,0,1
367,BGD_Food & Beverages,USD,0,1
368,BGD_Textiles and Wearing Apparel,USD,0,1
369,BGD_Wood and Paper,USD,0,1
370,"BGD_Petroleum, Chemical and Non-Metallic Mineral Products",USD,0,1
371,BGD_Metal Products,USD,0,1
372,BGD_Electrical and Machinery,USD,0,1
373,BGD_Transport Equipment,USD,0,1
374,BGD_Other Manufacturing,USD,0,1
375,BGD_Recycling,USD,0,1
376,"BGD_Electricity, Gas and Water",USD,0,1
377,BGD_Construction,USD,0,1
378,BGD_Maintenance and Repair,USD,0,1
379,BGD_Wholesale Trade,USD,0,1
380,BGD_Retail Trade,USD,0,1
381,BGD_Hotels and Restraurants,USD,0,1
382,BGD_Transport,USD,0,1
383,BGD_Post and Telecommunications,USD,0,1
384,BGD_Finacial Intermediation and Business Activities,USD,0,1
385,BGD_Public Administration,USD,0,1
386,"BGD_Education, Health and Other Services",USD,0,1
