,country1,gsc,weighted_ratio
78,AZE,SGR,541.3676764123275
79,AZE,TEX,3161.3940918862745
80,AZE,V_F,718.7818015618268
81,AZE,VOL,820.3582522286403
82,AZE,WAP,16173.718856946005
83,AZE,WOL,359.8547217715969
84,AZE,WTR,660.790318805132
85,Africa,BPH,16294.973270017226
86,Africa,C_B,9847.48981091111
87,Africa,CHM,557.239791815839
88,Africa,CMT,4873.54878152084
89,Africa,COA,64.02093578152095
90,Africa,CTL,6913.528401493852
91,Africa,EEQ,12302.71697796989
92,Africa,ELE,61624.95735051894
93,Africa,ELY,117196305.61934732
94,Africa,FMP,2889.786280163116
95,Africa,FRS,463.65306769993293
96,Africa,FSH,6379.78549885752
97,Africa,GAS,304.6084688430337
98,Africa,GDT,1125.1842338822823
99,Africa,GRO,232.1626178859998
100,Africa,GSC,2569.3099138606512
101,Africa,I_S,679.2237454523763
102,Africa,LEA,13070.968397938237
103,Africa,LUM,667.4018927368885
104,Africa,MIL,2256.3834251267153
105,Africa,MVH,10181.639008559041
106,Africa,NFM,11870.51514816688
107,Africa,NMM,303.29664773484143
108,Africa,OAP,2844.6594082694355
109,Africa,OCR,2465.377987865543
110,Africa,OFD,2429.7745638049896
111,Africa,OIL,369.78722098455864
112,Africa,OME,10880.616593412584
113,Africa,OMF,30216.94938130966
114,Africa,OMT,1909.686761174756
115,Africa,OSD,815.5493991737391
116,Africa,OTN,11446.941144018152
117,Africa,OXT,176.83611834588226
118,Africa,P_C,376.944493601498
119,Africa,PCR,543.8425365430131
120,Africa,PDR,788.046395168424
121,Africa,PFB,1652.8132493510498
122,Africa,PPP,1016.4224498465317
123,Africa,RMK,659.6016238097774
124,Africa,RPP,3103.270643451504
125,Africa,SGR,438.5111593308261
126,Africa,TEX,4886.000208305874
127,Africa,V_F,1028.0159680508877
128,Africa,VOL,1249.6162125659416
129,Africa,WAP,25421.4666437514
130,Africa,WHT,291.702631016196
131,Africa,WOL,6930.805521118616
132,Africa,WTR,584.9905985887833
133,Asia,BPH,38415.22367414202
134,Asia,C_B,83.48048864807615
135,Asia,CHM,1155.0734417428826
136,Asia,CMT,2949.1051395674767
137,Asia,COA,57.29424651698473
138,Asia,CTL,2782.8449224649203
139,Asia,EEQ,15086.033874059489
140,Asia,ELE,144829.9297890707
141,Asia,ELY,53824586876.65198
142,Asia,FMP,4969.274154922087
143,Asia,FRS,411.21624637136495
144,Asia,FSH,3836.6113855153185
145,Asia,GAS,326.9828086225195
146,Asia,GDT,1024.998631312511
147,Asia,GRO,317.49250968104616
148,Asia,GSC,1768.9550279716102
149,Asia,I_S,738.1242077880753
150,Asia,LEA,20886.723267692698
151,Asia,LUM,735.7763856590077
152,Asia,MIL,2361.897073104897
153,Asia,MVH,10511.25476125752
154,Asia,NFM,9558.328036860485
155,Asia,NMM,453.2673468676217
156,Asia,OAP,1678.3565122571863
157,Asia,OCR,1897.018186433011
158,Asia,OFD,2432.233017619157
159,Asia,OIL,354.98678725171646
160,Asia,OME,13591.949906627118
161,Asia,OMF,22073.616128464648
162,Asia,OMT,2929.672232127465
163,Asia,OSD,716.643362218407
164,Asia,OTN,7305.711291956892
165,Asia,OXT,216.98113345102922
166,Asia,P_C,404.4531008150469
167,Asia,PCR,505.13344584181493
168,Asia,PDR,426.55163979196413
169,Asia,PFB,1445.761857382178
170,Asia,PPP,1065.5617644864903
171,Asia,RMK,1297.5090376904013
172,Asia,RPP,4521.575127108918
173,Asia,SGR,437.00898316439515
174,Asia,TEX,4632.237817720771
175,Asia,V_F,716.445898639975
176,Asia,VOL,666.6603517123751
177,Asia,WAP,20198.11590618171
178,Asia,WHT,227.71626981750933
179,Asia,WOL,1215.6537298876872
180,Asia,WTR,309.97349252373766
181,CHN,BPH,7135.288592259037
182,CHN,C_B,502.84815013161614
183,CHN,CHM,1436.324216984216
184,CHN,CMT,9151.144277254583
185,CHN,COA,140.60429399414093
186,CHN,CTL,3723.0902760289723
187,CHN,EEQ,10090.393130114677
188,CHN,ELE,73512.58714429183
189,CHN,FMP,3125.3213723606073
190,CHN,FRS,988.4472757258748
191,CHN,FSH,4240.839647970534
192,CHN,GAS,409.45502441504647
193,CHN,GDT,3423.2053250171202
194,CHN,GRO,542.1770049547224
195,CHN,GSC,1830.022744035402
196,CHN,I_S,717.6449705621028
197,CHN,LEA,12105.280488537575
198,CHN,LUM,1411.4784104768896
199,CHN,MIL,2113.012174154985
200,CHN,MVH,6809.98756396525
201,CHN,NFM,3872.0930661793977
202,CHN,NMM,695.2825071624253
203,CHN,OAP,1929.4470680114375
204,CHN,OCR,2000.2151676203564
205,CHN,OFD,2221.7235216908493
206,CHN,OIL,378.0521363262693
207,CHN,OME,7377.57050430121
208,CHN,OMF,6325.319302057946
209,CHN,OMT,3270.699266515061
210,CHN,OSD,1311.5763492628291
211,CHN,OTN,5706.899413438369
212,CHN,OXT,121.90421799164875
213,CHN,P_C,332.66919175961226
214,CHN,PCR,474.4324590061403
215,CHN,PDR,2889.1009174389587
216,CHN,PFB,2059.658496029764
217,CHN,PPP,1885.6668491055966
218,CHN,RMK,828.0439683014688
219,CHN,RPP,3321.8364906871266
220,CHN,SGR,714.8425752526905
221,CHN,TEX,5131.868788145826
222,CHN,V_F,1043.0297480036045
223,CHN,VOL,763.645976043746
224,CHN,WAP,16909.664235519005
225,CHN,WHT,296.98183154877006
226,CHN,WOL,2886.956064922524
227,CHN,WTR,57.479670933855765
228,Europe,BPH,99102.42269558203
229,Europe,C_B,7013.225369315288
230,Europe,CHM,1574.3634852981984
231,Europe,CMT,3090.9158516133366
232,Europe,COA,109.73901412101978
233,Europe,CTL,5214.098889976924
234,Europe,EEQ,12847.476117841517
235,Europe,ELE,106723.78080518586
236,Europe,ELY,9114900618.065172
237,Europe,FMP,5308.839290493462
238,Europe,FRS,138.828470436884
239,Europe,FSH,2823.5808216136666
240,Europe,GAS,252.4332942588104
241,Europe,GDT,1348.7518605211537
242,Europe,GRO,210.16492415438768
243,Europe,GSC,1970.7447848918898
244,Europe,I_S,915.0974294070064
245,Europe,LEA,33078.08528042398
246,Europe,LUM,545.4079861142575
247,Europe,MIL,2603.2522251313308
248,Europe,MVH,10451.170262817377
249,Europe,NFM,17207.63158934601
250,Europe,NMM,601.5537512978827
251,Europe,OAP,2248.687520592306
252,Europe,OCR,2388.93747273775
253,Europe,OFD,1989.2721999566115
254,Europe,OIL,359.5557032555838
255,Europe,OME,13940.142483594553
256,Europe,OMF,14395.332303848327
257,Europe,OMT,2373.2656431083396
258,Europe,OSD,489.17075739721935
259,Europe,OTN,23577.904159808455
260,Europe,OXT,300.9004702508071
261,Europe,P_C,427.39719735863645
262,Europe,PCR,746.6223128612438
263,Europe,PDR,473.6769468082897
264,Europe,PFB,1516.2159417174887
265,Europe,PPP,1023.4918191432902
266,Europe,RMK,656.3063757350627
267,Europe,RPP,4741.96731151759
268,Europe,SGR,469.7018783239566
269,Europe,TEX,7532.057923026637
270,Europe,V_F,947.7850934103753
271,Europe,VOL,921.3392042492924
272,Europe,WAP,41038.87678454879
273,Europe,WHT,186.49258350243278
274,Europe,WOL,2122.423021679355
275,Europe,WTR,148.23185399654434
276,GEO,BPH,108831.50774506785
277,GEO,CHM,687.354028957228
278,GEO,CMT,4405.450711821193
279,GEO,COA,95.48958439904825
280,GEO,CTL,1715.4656167089731
281,GEO,EEQ,9581.781018266209
282,GEO,ELE,66281.66290075444
283,GEO,FMP,19270.297373873058
284,GEO,FRS,179.39434372950547
285,GEO,FSH,98275.53701634069
286,GEO,GRO,2916.7894535727164
287,GEO,GSC,1681.0208147461394
288,GEO,I_S,892.9714976381019
289,GEO,LEA,12716.253390705522
290,GEO,LUM,1046.5012794919762
291,GEO,MIL,2934.7851822285443
292,GEO,MVH,13562.058193221405
293,GEO,NFM,12736.733836653731
294,GEO,NMM,661.12177278023
295,GEO,OAP,3615.4394813369727
296,GEO,OCR,1713.636350738523
297,GEO,OFD,3154.3471290212033
298,GEO,OIL,310.1066237547157
299,GEO,OME,13484.88946871183
300,GEO,OMF,44217.28056994207
301,GEO,OMT,1081.468014169793
302,GEO,OSD,1619.1823842016236
303,GEO,OTN,193511.01532770114
304,GEO,OXT,1165.6416642923452
305,GEO,P_C,108.77538262642894
306,GEO,PCR,1160.0965647176588
307,GEO,PDR,1671.9299240929192
308,GEO,PPP,2850.7415386384146
309,GEO,RPP,6315.050641007163
310,GEO,SGR,474.09128256025684
311,GEO,TEX,4802.5612360856485
312,GEO,V_F,714.0445918952157
313,GEO,VOL,1301.5197346081961
314,GEO,WAP,48456.473823955464
315,GEO,WHT,286.5474609436237
316,GEO,WOL,470.9968402847816
317,GEO,WTR,435.0633611925885
318,KAZ,BPH,44532.106780843525
319,KAZ,CHM,2279.3074148124465
320,KAZ,CMT,4221.457362257165
321,KAZ,COA,25.086224193688334
322,KAZ,CTL,1948.1565770923055
323,KAZ,EEQ,3307.379405305879
324,KAZ,ELE,80094.47165689354
325,KAZ,ELY,192130514.53360504
326,KAZ,FMP,6781.857797992202
327,KAZ,FRS,694.6245404244169
328,KAZ,FSH,785.233555407401
329,KAZ,GAS,257.82159222889834
330,KAZ,GRO,152.97406861033232
331,KAZ,GSC,2777.1081262725706
332,KAZ,I_S,924.4328501706457
