labels,sector,type,essential,usd_per_ton,output,final_demand,share_exporting_firms,cutoff,supply_data,country,country_ISO
AGO_Wholesale Trade,AGO_Wholesale Trade,trade,True,,14629106.495660417,7867803.424070073,0.0120551781199124,0,USD,Angola,AGO
AGO_Retail Trade,AGO_Retail Trade,trade,True,,11629084.544652808,9708100.744720314,0.0065819837691091,0,USD,Angola,AGO
AGO_Hotels and Restraurants,AGO_Hotels and Restraurants,service,True,,9955269.375170656,8205833.019719818,0.0207873417274856,0,USD,Angola,AGO
AGO_Transport,AGO_Transport,construction,True,,5187492.666885786,1295196.4037769104,0.2201087605458409,0,USD,Angola,AGO
AGO_Post and Telecommunications,AGO_Post and Telecommunications,service,True,,4411073.59976893,1515330.1312497712,0.0442763906522435,0,USD,Angola,AGO
AGO_Finacial Intermediation and Business Activities,AGO_Finacial Intermediation and Business Activities,service,True,,20675188.251595225,6883567.466964745,0.0002679347454076,0,USD,Angola,AGO
AGO_Public Administration,AGO_Public Administration,service,True,,10644338.421070931,10484247.18323752,0.0052571046588148,0,USD,Angola,AGO
"AGO_Education, Health and Other Services","AGO_Education, Health and Other Services",service,True,,8803651.29270763,7739106.8771202,0.0175714716785261,0,USD,Angola,AGO
AGO_Private Households,AGO_Private Households,service,True,,180093.49714145908,134852.22250406726,0.2209203455588433,0,USD,Angola,AGO
AGO_Others,AGO_Others,service,True,,454506.9185120672,153622.35692369528,0.0201538429565823,0,USD,Angola,AGO
AGO_Re-export & Re-import,AGO_Re-export & Re-import,imports,True,,52568.53666583471,6364.127970050776,0.8688630024291488,0,USD,Angola,AGO
ATG_Agriculture,ATG_Agriculture,agriculture,True,,55998.16881322825,6655.457333500909,0.1710101869164204,0,USD,Antigua,ATG
ATG_Fishing,ATG_Fishing,agriculture,True,,7345.32369507363,600.5686454320711,0.564774485489844,0,USD,Antigua,ATG
ATG_Mining and Quarrying,ATG_Mining and Quarrying,mining,True,,42416.60504721636,1064.3845511626034,0.1461054810764584,0,USD,Antigua,ATG
ATG_Food & Beverages,ATG_Food & Beverages,agriculture,True,,85764.55897286296,44862.4746976059,0.2128166646088891,0,USD,Antigua,ATG
ATG_Textiles and Wearing Apparel,ATG_Textiles and Wearing Apparel,manufacturing,True,,21793.125203607568,5735.550044599643,0.4013330203581858,0,USD,Antigua,ATG
ATG_Wood and Paper,ATG_Wood and Paper,manufacturing,True,,52570.32616601199,3341.6568783151884,0.1613894741094847,0,USD,Antigua,ATG
"ATG_Petroleum, Chemical and Non-Metallic Mineral Products","ATG_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,129979.7673761869,19066.80341696786,0.1629505073733466,0,USD,Antigua,ATG
ATG_Metal Products,ATG_Metal Products,manufacturing,True,,59469.61557170165,2807.467442507679,0.2404591079280213,0,USD,Antigua,ATG
ATG_Electrical and Machinery,ATG_Electrical and Machinery,utility,True,,123348.54403563395,33773.93395362849,0.2199331753860697,0,USD,Antigua,ATG
ATG_Transport Equipment,ATG_Transport Equipment,utility,True,,71274.40305532255,23518.63234715078,0.4097193112442473,0,USD,Antigua,ATG
ATG_Other Manufacturing,ATG_Other Manufacturing,manufacturing,True,,22401.770023946505,5625.248785122885,0.2815176468235431,0,USD,Antigua,ATG
ATG_Recycling,ATG_Recycling,utility,True,,9714.320873720872,2903.5145998330986,0.5597337174230151,0,USD,Antigua,ATG
"ATG_Electricity, Gas and Water","ATG_Electricity, Gas and Water",utility,True,,76654.40916057781,20672.08716438712,0.1425282984218647,0,USD,Antigua,ATG
ATG_Construction,ATG_Construction,construction,True,,196906.0596702946,116364.28004488169,0.2326864259847104,0,USD,Antigua,ATG
ATG_Maintenance and Repair,ATG_Maintenance and Repair,construction,True,,20530.9871346403,4886.951496789748,0.7163799397173135,0,USD,Antigua,ATG
ATG_Wholesale Trade,ATG_Wholesale Trade,trade,True,,174774.1621246206,63120.2924010348,0.2154625735967446,0,USD,Antigua,ATG
ATG_Retail Trade,ATG_Retail Trade,trade,True,,152147.73074896223,109065.28354110965,0.2088524685674245,0,USD,Antigua,ATG
ATG_Hotels and Restraurants,ATG_Hotels and Restraurants,service,True,,113147.09779143648,66306.85917819507,0.2734092568972885,0,USD,Antigua,ATG
ATG_Transport,ATG_Transport,construction,True,,148952.77144830368,25552.505684228305,0.2203580946895429,0,USD,Antigua,ATG
ATG_Post and Telecommunications,ATG_Post and Telecommunications,service,True,,122817.1333472893,28925.346138478035,0.2091097878436021,0,USD,Antigua,ATG
ATG_Finacial Intermediation and Business Activities,ATG_Finacial Intermediation and Business Activities,service,True,,588299.1157023638,210700.8806701231,0.0412477454266941,0,USD,Antigua,ATG
ATG_Public Administration,ATG_Public Administration,service,True,,191378.902781974,155888.36253510605,0.1780861194438727,0,USD,Antigua,ATG
"ATG_Education, Health and Other Services","ATG_Education, Health and Other Services",service,True,,277447.1103867419,215655.73314826816,0.1276045352792605,0,USD,Antigua,ATG
ATG_Private Households,ATG_Private Households,service,True,,15562.99586269851,4076.225694334089,0.7332540697974409,0,USD,Antigua,ATG
ATG_Others,ATG_Others,service,True,,11904.2139735903,2382.5294519784925,0.4072996563543355,0,USD,Antigua,ATG
ATG_Re-export & Re-import,ATG_Re-export & Re-import,imports,True,,12014.374753624856,2264.961985798288,0.8111431265023835,0,USD,Antigua,ATG
ARG_Agriculture,ARG_Agriculture,agriculture,True,,64521196.061993256,11608256.262612704,0.1144673932473383,0,USD,Argentina,ARG
ARG_Fishing,ARG_Fishing,agriculture,True,,751021.8886867276,201298.1735648972,0.0502144192847366,0,USD,Argentina,ARG
ARG_Mining and Quarrying,ARG_Mining and Quarrying,mining,True,,33111466.87894744,1472526.7746332327,0.2818803267902808,0,USD,Argentina,ARG
ARG_Food & Beverages,ARG_Food & Beverages,agriculture,True,,77448674.70597747,58986329.66165034,0.0748843507766918,0,USD,Argentina,ARG
ARG_Textiles and Wearing Apparel,ARG_Textiles and Wearing Apparel,manufacturing,True,,20967773.20623773,12360426.98040636,0.06340052094426,0,USD,Argentina,ARG
ARG_Wood and Paper,ARG_Wood and Paper,manufacturing,True,,16241202.433620531,4174563.223003054,0.0371887723887153,0,USD,Argentina,ARG
"ARG_Petroleum, Chemical and Non-Metallic Mineral Products","ARG_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,57278727.914439365,19329345.04507823,0.1069565023641952,0,USD,Argentina,ARG
ARG_Metal Products,ARG_Metal Products,manufacturing,True,,16525529.140049454,2654222.770970704,0.11741090862526,0,USD,Argentina,ARG
ARG_Electrical and Machinery,ARG_Electrical and Machinery,utility,True,,17371557.81781809,9595147.802271394,0.0716196851866886,0,USD,Argentina,ARG
ARG_Transport Equipment,ARG_Transport Equipment,utility,True,,15978110.459715812,10569590.66998344,0.0769372023308151,0,USD,Argentina,ARG
ARG_Other Manufacturing,ARG_Other Manufacturing,manufacturing,True,,6480507.1812651055,4694724.005288313,0.0401873227709925,0,USD,Argentina,ARG
ARG_Recycling,ARG_Recycling,utility,True,,243554.30662728832,73275.58212704002,0.3454031616390779,0,USD,Argentina,ARG
"ARG_Electricity, Gas and Water","ARG_Electricity, Gas and Water",utility,True,,25721771.96301629,9834564.508566402,0.0194610618359523,0,USD,Argentina,ARG
ARG_Construction,ARG_Construction,construction,True,,53635969.25997896,46116496.59962904,0.0064228392360474,0,USD,Argentina,ARG
ARG_Maintenance and Repair,ARG_Maintenance and Repair,construction,True,,1933668.298947711,1530630.72451008,0.0131890148229028,0,USD,Argentina,ARG
ARG_Wholesale Trade,ARG_Wholesale Trade,trade,True,,27715710.69885715,15858785.944367524,0.0132614733905907,0,USD,Argentina,ARG
ARG_Retail Trade,ARG_Retail Trade,trade,True,,53657118.06856,46336992.864805095,0.0131652311667467,0,USD,Argentina,ARG
ARG_Hotels and Restraurants,ARG_Hotels and Restraurants,service,True,,26562339.3567238,24172738.18672904,0.0180107121959076,0,USD,Argentina,ARG
ARG_Transport,ARG_Transport,construction,True,,47645294.5798355,23548480.727268405,0.0466857103632595,0,USD,Argentina,ARG
ARG_Post and Telecommunications,ARG_Post and Telecommunications,service,True,,18575813.771777973,9683986.47281639,0.0458796145387517,0,USD,Argentina,ARG
ARG_Finacial Intermediation and Business Activities,ARG_Finacial Intermediation and Business Activities,service,True,,143220534.39858484,70246148.3579233,0.0354632399874738,0,USD,Argentina,ARG
ARG_Public Administration,ARG_Public Administration,service,True,,54562775.6212332,52653226.85239814,0.0140937153940267,0,USD,Argentina,ARG
"ARG_Education, Health and Other Services","ARG_Education, Health and Other Services",service,True,,113064093.64434049,100171594.04527046,0.0182099499248972,0,USD,Argentina,ARG
ARG_Private Households,ARG_Private Households,service,True,,30401.50858931088,30109.556652537907,0.0095962546889295,0,USD,Argentina,ARG
ARG_Others,ARG_Others,service,True,,8725246.871286575,8641456.759271124,0.0095962286394876,0,USD,Argentina,ARG
ARG_Re-export & Re-import,ARG_Re-export & Re-import,imports,True,,11190.03479606351,1494.2897975021945,0.865606353831515,0,USD,Argentina,ARG
ARM_Agriculture,ARM_Agriculture,agriculture,True,,2381117.425063811,585337.9252127057,0.0647406293022196,0,USD,Armenia,ARM
ARM_Fishing,ARM_Fishing,agriculture,True,,78001.45099723643,16273.64960219664,0.6194208857185438,0,USD,Armenia,ARM
ARM_Mining and Quarrying,ARM_Mining and Quarrying,mining,True,,450217.8695461717,24727.2465244078,0.465001650607063,0,USD,Armenia,ARM
ARM_Food & Beverages,ARM_Food & Beverages,agriculture,True,,929389.0470019238,740941.6238673993,0.1556759274646637,0,USD,Armenia,ARM
ARM_Textiles and Wearing Apparel,ARM_Textiles and Wearing Apparel,manufacturing,True,,154258.16657212452,91578.6405721872,0.3591861376495177,0,USD,Armenia,ARM
ARM_Wood and Paper,ARM_Wood and Paper,manufacturing,True,,274339.14693559945,52867.87089314432,0.2140514154082429,0,USD,Armenia,ARM
"ARM_Petroleum, Chemical and Non-Metallic Mineral Products","ARM_Petroleum, Chemical and Non-Metallic Mineral Products",utility,True,,634537.2108864004,193733.0748800736,0.3655987985925376,0,USD,Armenia,ARM
ARM_Metal Products,ARM_Metal Products,manufacturing,True,,438425.3075931104,26691.954231431493,0.8365707321235909,0,USD,Armenia,ARM
ARM_Electrical and Machinery,ARM_Electrical and Machinery,utility,True,,839338.276945891,496843.0736167846,0.3158378499128036,0,USD,Armenia,ARM
ARM_Transport Equipment,ARM_Transport Equipment,utility,True,,284861.9176154026,205820.85246363725,0.1599149771408481,0,USD,Armenia,ARM
ARM_Other Manufacturing,ARM_Other Manufacturing,manufacturing,True,,153859.21795389606,80227.65363827762,0.3462016788203083,0,USD,Armenia,ARM
ARM_Recycling,ARM_Recycling,utility,True,,108450.3523822639,60701.01287621933,0.4294722459902476,0,USD,Armenia,ARM
