,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS
MBA,0.0,0.0,3.0336386426298277e-05,0.0,0.0,3.3859013551663564e-06,0.0,0.0,6.284904067677866e-08,1.89139103881075e-07,0.0057794493416738115,0.0,4.8871032299170994e-05,0.00012302860978177769,3.1845646317278185e-07,4.713559976608103e-07,0.023991981333471493,0.012204890848943595,1.6610228859133527e-07,0.0007950400021270501,0.008447249959124702,8.088255884199603e-07,0.013521366114365376,2.3409838380600053e-05,0.0005762536227290234,0.026095574269508228,3.7834551181940025e-05,0.0007329918469532912,6.330473647635439e-07,0.0009795800888987263,8.646721103913697e-05,0.004573061491132533,0.0,0.0,0.00011970973056690755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.86487016690094e-07,0.0,0.0,0.0,0.0,2.6902347029582013e-05,0.00037854887547081437,0.0001636468290003467,0.0,0.008017082788124663,0.0,0.0,9.57469610403251e-07,1.2537403551790632e-07,0.0,0.00017644029820722417,7.975450052086814e-07,0.00038308654907202004
MFA,0.0,0.0,3.0881984737510526e-05,0.0,0.0,8.09559102880501e-06,0.0,0.0,0.00075676693194682,0.0022774288646880965,0.006247492052035189,0.0,0.0010912336033855068,0.0006713340546579584,0.003834542548283395,0.005675609816209957,0.008321804088832655,0.04668089314868679,0.002000041973163383,0.007865636420616155,0.014502163049631632,0.009739089927824617,0.022405265660842985,0.0019417553703296876,0.00018498391794556293,0.01748528156777063,0.002029128245389915,0.00023529865726386017,0.007542004550236502,0.0016967967324430365,0.0005595475801136597,0.0014680043617417203,0.0,0.0,3.8428174857457525e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2037008177874797e-07,0.0,0.0,0.0,0.0,8.635957084131689e-06,0.0016856832322631099,5.253247943932975e-05,0.0,0.02386614507135377,0.0,0.0,0.011528916459100423,0.0015096320195661043,0.0,9.358518367890224e-05,2.560209497733465e-07,0.0006834064056573979
MEL,0.0,0.0,0.0,2.1289038568953054e-06,0.0,1.2438762543131e-07,2.4373270342808027e-07,0.0,6.594007645139779e-08,1.984413260022126e-07,3.8272190209316043e-07,0.0,9.37189999093204e-08,5.505621177312754e-08,3.34118759839936e-07,2.2176651081125106e-06,1.6461839513386093e-07,8.439375468014429e-06,0.000131103512717068,6.668565091739351e-07,1.0669851920759386e-06,8.486051745888419e-07,9.266533407576931e-05,3.974876270746191e-06,2.269189578846745e-06,1.6980487992672797e-05,2.0278286678064254e-05,0.0,7.597322140715534e-06,1.204519678436254e-07,1.3130301408355558e-05,0.0,2.6104569042456627e-07,6.865515737626425e-05,4.982413959146173e-05,1.9160411247763104e-06,1.3706339617319875e-07,0.0,1.1794304063230277e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0460803047354495e-05,1.2705863417427183e-05,1.3013829527176715e-06,1.8929392245835726e-06,0.0,0.0,2.2925592579656126e-05,6.568769165910667e-05,0.0,4.0910989992023045e-11,0.0,4.166327615142849e-06
MMA,5.942228233363491e-10,0.0,1.9019516760930217e-08,2.3475564758937953e-07,8.111123981078261e-06,2.9272255525481106e-07,4.958028495734082e-10,5.77667592855783e-10,3.15869605820876e-05,9.506225774630158e-05,0.00018335053745025716,0.0,4.489625319456995e-05,2.6373403535224634e-05,0.00016005126943444934,0.00023689616867127725,7.885636757831725e-05,0.001824475342873796,8.604907904945962e-05,0.0036006456451318754,0.0005382215599003466,0.00044419547162367147,0.0008099785094854261,0.0007422328164624395,9.1028659334826e-10,0.0004818956525865678,0.00046922551705909143,0.0001926968972258524,0.0006045118078629966,5.7699507422490186e-05,2.328676425445441e-05,1.783470124528817e-10,5.7287582793963556e-11,2.020225970455575e-06,1.2573490565973886e-09,8.276032719300127e-10,5.340183564094266e-09,6.843743353149738e-10,1.7367485697738059e-09,6.4115838339643266e-09,0.0001676964025158709,1.3215131755397814e-07,0.0,3.628982215947907e-09,1.0010200381466438e-09,2.2453636995782434e-06,1.5375848584290438e-06,0.0,6.529129928960872e-05,4.431837175670143e-09,4.449050324418317e-06,0.0009173903719605081,0.0,5.0270581808765955e-09,0.00048120928438239986,6.30122316565586e-05,3.1836418513891267e-09,2.3177608683912915e-06,1.141466882598268e-05,0.0002982032113029377
MTR,0.0,0.0,0.0,0.0,0.0,9.702413055120657e-09,0.0,0.0,1.0475968673590324e-06,3.1526580292595898e-06,6.08034274873799e-06,0.0,1.4889235196654722e-06,8.74683774816298e-07,5.3081795619723186e-06,7.85677969374004e-06,2.6153096012712993e-06,6.010459135901984e-05,2.768669741266887e-06,0.00020379353962950798,0.010158217461543257,1.3481878856770584e-05,2.596293941446692e-05,0.0014356883664199927,0.0,0.0002393404798616344,2.7921956421076543e-06,0.0,0.0008732297670890835,1.9136329675507684e-06,0.0003027081857478362,0.0,0.0,0.0007463569450514124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008397014010043728,0.0,0.0,2.1653401201497907e-06,0.0,0.0,3.007332275746476e-05,0.0,0.0,1.595954613863376e-05,2.089792388911459e-06,0.0,6.49957162057424e-10,0.0,4.719973938867891e-07
MFU,4.394208794465478e-06,1.190856424647003e-07,8.380553171007236e-07,7.894146051885732e-07,2.907810105402236e-07,1.3411400493206076e-07,7.306286986459809e-08,0.0,1.0474426462747637e-05,3.15219391338186e-05,6.0794476362375104e-05,0.0,1.4887043290524121e-05,8.745550089862852e-06,5.307398122820439e-05,7.907276616342826e-05,2.6149245906866233e-05,0.0006023531865755193,6.693080603285015e-05,0.00010592859217710101,0.00016948809483831247,0.00013479894133409855,0.00028687924202038494,2.7913587327176123e-05,6.802267425155098e-07,0.00015032380155861978,3.3943909836022654e-05,0.0,0.0001064694342990996,1.9133512536965717e-05,1.1282853383854046e-05,0.0,7.825272128010579e-08,2.0580507902156194e-05,1.4935601894559477e-05,5.743647093138567e-07,4.1086997915965916e-08,0.0,3.535535817701908e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4745153766292015e-05,3.8087906642317587e-06,3.9011085496975306e-07,0.0003006889553876286,0.0,0.0,0.00016614315529044259,4.054637754896797e-05,0.0,6.498614791650979e-09,0.0,5.959298134116413e-06
MAO,2.4501035668076135e-07,0.0,7.84214002304239e-06,7.418912221252099e-05,3.862706312779798e-06,7.134240954425329e-06,1.0794403962009024e-05,5.75898615872979e-06,8.233741484894194e-05,0.0002490566364568668,0.0022523083556991326,0.0,0.00013297595863535056,0.00010646553543196506,0.0004179121249741367,0.0006766941973297242,0.00033140969750409437,0.004880379097621825,0.004403308069784679,0.0009069595897861772,0.0013383060169588742,0.001058200038503333,0.005191419410569091,0.0003518643909337715,0.00025198213571662445,0.0016616229759802846,0.0008739437895099157,0.00022556984196072248,0.001060623502586943,0.0004510325186641741,0.0005119269116328399,0.0014046721847333,9.507096932545638e-05,0.002207054400689567,0.0016321435078560842,6.264155945351346e-05,8.993862785489578e-06,2.2347885857003524e-06,0.0003924895294146996,3.1501341640539865e-06,3.4831468741800052e-06,0.0,5.949795611707242e-07,1.4963044033302903e-06,6.870444439381208e-06,7.232583465999118e-06,5.23466980091398e-07,8.262775508330687e-06,0.0006188107514833802,0.00047206672888602135,4.263705300519159e-05,0.002365248918855033,0.0,4.671596840677964e-05,0.001996200481250438,0.0022891085292006752,1.5383735951704023e-05,3.988818699890616e-05,5.363650662678008e-06,0.0002036226012560537
ELE,0.0014843985680235282,0.0004093653261410115,0.009525938558607424,0.0019229347959419392,0.0015100076830298448,0.00015642684482093457,0.017162406386429973,0.023580496381447408,0.0028980156109935664,0.0028977350578865734,0.040063395687161135,0.0,0.012190733973888748,0.010603423827421868,0.016621800814260203,0.008351534105358755,0.00020924188905002038,0.008998362689511699,0.0244933029136941,0.005187566021319031,0.0007270259820755262,0.0002593027311139653,0.004481256254237415,0.09618989883126329,0.014130865393430838,0.0011709148363804576,0.0013827874872739405,0.020761678680606004,0.003841504955310329,0.007683389044642475,0.003557906256904475,0.014428337512421894,0.0031511099981487156,0.0365749311170574,0.013814538512474902,0.007717980116329423,0.0022890669063214838,0.09103147361500037,0.06659583603661436,0.04076859759007128,0.08609460686750774,0.003968672561022038,0.026177732461634465,0.0500184161964705,0.13156557364860608,0.008939321340994944,0.08899400451136102,0.04311312776395659,0.05486002307631596,0.013296116085549276,0.01004427111785577,0.09863930411428862,0.05860501246630464,0.023892095955976935,0.013245215674509779,0.045685880816830955,0.04476143139926068,0.09222087457844438,0.005457247049020814,0.0015510361433497077
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018345422089982407,0.0006064713299718072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1126065547347079e-05,3.360233801265986e-06,0.0025835569821752837,8.929860606065668e-06,0.0,0.0,0.0,0.0,7.537410208227732e-05,0.0,0.0
CON,2.3117227063096206e-05,1.155440365196144e-07,4.81448282764297e-05,0.0010864654681279574,0.03993850146892667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17884359635587593,0.0,0.082000204388486,0.0,0.0,0.022349667005132082,0.0,0.0013917923790792651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.191498738780943e-05,0.0,0.0,2.6578680880565327e-05,0.0075678287798226825,0.0,0.0,0.0,0.0,0.05228137190906896,0.0,0.0,0.0,0.0,0.0,0.01130250938463376,0.056171662158023355,0.002878686265912182
TRW,0.019415077564633544,0.017692878144297142,0.021369526972663817,0.033527035127040285,0.014674632262691148,0.06378270788529732,0.06077108249031518,0.061041997855681436,0.05948593103250048,0.044249938866002696,0.04384107154570471,0.07460918328866825,0.0420206403655802,0.03642179396835591,0.0698809844398813,0.033439110129088644,0.04121394359755042,0.03969963081689548,0.04369440568833247,0.04214439436886856,0.04353245765627875,0.01981756102669108,0.045139487526291655,0.061429457376728974,0.02198936052883248,0.038374313502298724,0.024117447094437174,0.02113707326269192,0.021723740520635516,0.015327480236263149,0.042386376161426056,0.02330997498862755,0.0007525671725500894,0.01524411963029201,0.008401760393984806,0.002351443191174871,0.000627474215764584,0.014520322259572057,0.010702921870600485,0.005707601622808653,0.014503827356967461,0.010302987903773955,0.006872392021989004,0.008747564359890398,0.023104153367862132,0.009555917524973727,0.023587884428080286,0.006896614232131793,0.020387212636199834,0.006910064502152528,0.02643598919402705,0.0315349223336823,0.008842819980987673,0.00398309093375206,0.010437193123448634,0.013876218032102766,0.0064545838582256805,0.015964349488707345,0.011739326503391954,0.013302631000998592
TRR,0.0003070955220283566,0.0002980779592961706,0.00031347984945868674,0.0005628007074874676,0.0002485164862596378,0.0010712580398101867,0.001008345643269469,0.0010217695116538452,0.000999931601081226,0.0007235424623808673,0.000736255846781245,0.0012573496854607917,0.0007050926314852964,0.000609297321393274,0.0011688432304032795,0.0005575056143389345,0.0006812852408614572,0.0006635850345331018,0.000736359048939828,0.0007101017357221191,0.0007326453830195457,0.0003249026674368655,0.000759592570250912,0.001180025276345035,0.00034877392585599574,0.0007062662038493364,0.0003825543501194147,0.0003275183424341092,0.0003597918068977135,0.00024246352187747166,0.0006960174041763951,0.00038544339188772666,8.102406621834717e-06,0.0002516655260313436,0.00013454725709340852,3.170475615044128e-05,6.8517896849286925e-06,0.00022249782388221716,0.00017321571620302535,9.12406790567348e-05,0.00022896543650042367,0.00016669370051468235,6.799178582261484e-05,0.00011762516560085197,0.0003381682786502148,0.00010180597702652837,0.00037665728284795667,0.00010830946143577328,0.00031278540240836666,0.00010050873204357117,0.000439673156276073,0.0005748896108546151,0.000144782222866078,6.44197310245132e-05,0.00017397327761733795,0.0002283160228522933,0.00010239088983878088,0.00026059611107771027,0.0002415964157507005,0.00022486860023325316
TRL,0.00772633229689654,0.0020254444818414356,0.00986110299739471,0.006505523039001495,0.008085108497256077,0.013118215545587779,0.03817154644773285,0.02401586543762445,0.012625023692419494,0.015403067126559915,0.011020599352460268,0.007537490444514377,0.015683074198011213,0.008663434370817985,0.026067096479223836,0.01986807509003605,0.0389441888854097,0.0172779753340267,0.0044142912742482785,0.027891102615047892,0.009468906972049232,0.016383194121214993,0.007243306994432636,0.018005998891640847,0.10839289346344634,0.02950820461905027,0.06507879223520126,0.0901000953464654,0.05828676227543123,0.14992947356987646,0.04742206400300027,0.017656129151098755,0.08247409896333292,0.06495714153146077,0.0570096572909429,0.024609681476300545,0.01553604778900539,0.053139490612589886,0.03649561187479633,0.01864644665032215,0.060915452953059224,0.033631079719107906,0.03498170723181028,0.08607284838665753,0.12756262455415443,0.10876913680390721,0.08166224040644497,0.027545601022862333,0.07579493241931921,0.02429590700524255,0.0058785136961185605,0.004219041550375509,0.03255635601651397,0.039630033342938416,0.016907308787793073,0.034013838835707015,0.03079503308161046,0.056976164564690776,0.014292039934971924,0.0088449849522917
POS,0.0,0.0,0.0,0.0,0.0,5.425041223175745e-10,0.0,0.0,5.8575698214508226e-08,1.7627882542356453e-07,3.3997841439591344e-07,0.0,8.325219124821787e-08,4.8907374986648385e-08,2.968034114824715e-07,4.393067320243022e-07,1.4623333718796904e-07,3.360709175875839e-06,1.5480836977771194e-07,5.923800477020047e-07,9.478212033383899e-07,7.538304970972227e-07,1.451700889233537e-06,1.497191624653858e-07,0.0,8.137195230481968e-07,1.5612380523844148e-07,0.0,5.837702971007943e-07,0.0465809587399014,4.1163053741042943e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012964562693170904,0.0003749409387334255,0.0,0.00014034285541635825,1.2107358599631223e-07,0.0,0.0,1.6815303033404681e-06,0.0,0.0,8.923676534217265e-07,1.1684938368749542e-07,0.0,3.634193243915644e-11,0.0,2.639142762238859e-08
ACF,0.001859832315577882,0.00039871923093699497,0.0037471650214060005,0.0018507109812772495,0.003109699989094473,0.007138495299989491,0.018934853453041214,0.006720117431856979,0.004572577203488802,0.002766937632888552,0.004181403468191436,0.0014113262318748401,0.008240840173035977,0.012081874586930363,0.01356295483048156,0.0038506937447407314,0.007458438519720264,0.008282684662436878,0.0020172686273708636,0.00816309961193727,0.004420257875556709,0.012091700286468127,0.002786497255491844,0.007847060212886437,0.01134718095207421,0.00793332705361686,0.025752956989486347,0.019404746822537865,0.025961205650862868,0.008711763916814328,0.024500850556100226,0.013348179052099226,0.005463142095073463,0.00522275663250301,0.006023098951583616,0.01040926256879856,0.0028830070546320406,0.014137512740512816,0.008656317836623002,0.005143857816107355,0.015433342747019865,0.004765846532676652,0.004703854128475014,0.015981449104618854,0.06732101969754281,0.02799676961258682,0.03173261117392155,0.009130236817724197,0.02628928847221236,0.008816628525185935,0.02381181259087098,0.00565516057167295,0.008020116239550004,0.003869023231089273,0.0019058280995306559,0.011521708161725661,0.00702681019987198,0.015262981023203198,0.0067381189532116186,0.0031790672308349035
PUB,0.0,1.574068068819765e-07,0.0,0.0,0.00026695122130805096,6.52818001718898e-05,0.00021927327146763524,0.0002415881456722136,3.1717999724812945e-05,0.0004169812290722519,0.00012438183293433678,0.0,0.0002846767259775161,4.158757913305954e-05,0.00021814521005603603,0.00022380658042782525,2.0987567863555794e-05,0.00011988793341851606,0.0,5.192047201238536e-10,9.546631712732308e-06,7.445375093342677e-05,2.106339239897396e-05,7.078394761428831e-05,0.0023891099435947856,0.00016145628296753269,0.00037067861554573167,0.000621021675725014,0.0004283142173262063,0.0019135978454217519,0.00020866960541052166,0.00011432243981335152,0.0026069677831280515,0.0023367869392572076,0.0018287508353178785,0.0005057415489773316,0.0003339424604965761,0.0007400772486123979,0.0008490701150323928,0.0003408471708563127,0.001059141462167955,0.000907644591949559,0.000975488030105346,0.0009692314376090965,0.0003407239737996073,0.0007158708353549667,0.0,0.0003449261072008873,0.0004396022202301495,0.0003057687450935524,5.3013255206899805e-05,0.0,0.000825516060164676,0.0010643398877345684,0.00035637213677518887,0.0006345710913213195,0.00042479614313917533,0.0004465672291970165,7.342190197433387e-05,1.5574582656835306e-05
