"output","share_exporting_firms","final_demand","type","cutoff","usd_per_ton","sector","supply_data"
1297.50312558282,1.95962916207214e-07,1235.53751196945,"service",0,1000,"MNG_Pub","USD"
110.77357817765,2.38941382000725e-06,64.2303006357417,"manufacturing",0,1000,"MNG_Pul","USD"
1030.8978980855,0.00153568745131613,743.153422062634,"service",0,1000,"MNG_Rea","USD"
881.606357033987,0.00461924768717699,311.59341233224,"service",0,1000,"MNG_Ren","USD"
1132.5916158047,0.00106734925336035,422.777803788836,"trade",0,1000,"MNG_Ret","USD"
26.0435973385652,0.00106178074174246,2.98369384608592,"manufacturing",0,1000,"MNG_Rub","USD"
225.301947949466,0.00242164229927666,96.1490297222208,"manufacturing",0,1000,"MNG_Sal","USD"
555.836898588323,0.000948281279487492,367.369917070788,"manufacturing",0,1000,"MNG_Tex","USD"
1.16662521262656,0.0101033684495836,0.874982813045045,"manufacturing",0,1000,"MNG_Tra","USD"
0.541761611281063,1.71274420957362e-10,0.00843385083553634,"manufacturing",0,1000,"MNG_Wat","USD"
1571.45995921817,0.00281074844146872,666.580232260236,"trade",0,1000,"MNG_Who","USD"
75.4431776115513,0.000487359524898325,11.1937220127576,"manufacturing",0,1000,"MNG_Wod","USD"
89380.729695469,0.00205064848869185,35831.1986904498,"manufacturing",0,1000,"RUS_Act","USD"
165868.565016597,0.000751945442478833,71712.3875062387,"agriculture",0,1000,"RUS_Agr","USD"
22064.7639109416,0.0132257948901986,8329.58688020519,"manufacturing",0,1000,"RUS_Air","USD"
240399.206574033,0.000683655222740392,11147.8709838381,"manufacturing",0,1000,"RUS_Bas","USD"
115205.981382245,0.00617076011996653,30783.5931953929,"manufacturing",0,1000,"RUS_Che","USD"
203563.622286981,0.0235898203341813,35163.2987229472,"utility",0,1000,"RUS_Cok","USD"
250702.326935611,0.000996488298664316,228235.695240476,"mining",0,1000,"RUS_Con","USD"
76108.1424568481,0.000750528091087521,74281.4049847283,"service",0,1000,"RUS_Edu","USD"
164973.549101202,0.000163302439064141,15901.397468797,"utility",0,1000,"RUS_Ele","USD"
51503.8613689271,0.012436276798002,17111.1842382107,"manufacturing",0,1000,"RUS_Elo","USD"
134532.846977814,0.000688681301911466,82494.2037628378,"service",0,1000,"RUS_Fni","USD"
171151.144211823,0.0189058953756668,129394.132895392,"manufacturing",0,1000,"RUS_Foo","USD"
110426.582496996,0.000360426333340288,106314.352742984,"service",0,1000,"RUS_Hea","USD"
40245.1904364126,0.00653514906124015,29980.6772258398,"service",0,1000,"RUS_Hot","USD"
165507.085746388,0.00281058701613754,49331.1482793371,"transport",0,1000,"RUS_Inl","USD"
2296.15377493411,0.10600297622073,1892.81553585066,"manufacturing",0,1000,"RUS_Lea","USD"
57684.8409303562,0.00404497578405253,34666.1688159167,"manufacturing",0,1000,"RUS_Mac","USD"
17328.1133632789,0.0413527337764503,9916.85911698065,"manufacturing",0,1000,"RUS_Man","USD"
418832.117245297,2.44586833635959e-05,2530.12778080098,"mining",0,1000,"RUS_Min","USD"
43626.0151481349,0.000525556811678291,3495.49860471636,"manufacturing",0,1000,"RUS_Nmm","USD"
80827.6525647465,0.00264117505058252,49986.6657536132,"service",0,1000,"RUS_Oth","USD"
40885.328157514,0.00145181898209514,11430.3539873156,"transport",0,1000,"RUS_Pos","USD"
5752.3774758403,0.000162404492674153,5741.75354548538,"service",0,1000,"RUS_Pri","USD"
207528.599563797,0.000247497797368548,141364.202005648,"service",0,1000,"RUS_Pub","USD"
31514.6357194842,0.000960803153319805,6906.8313561508,"manufacturing",0,1000,"RUS_Pul","USD"
290800.166499842,4.77439958209155e-05,181689.469544188,"service",0,1000,"RUS_Rea","USD"
283167.932429012,0.00186019677794432,116211.354645874,"service",0,1000,"RUS_Ren","USD"
154395.735342909,0.00169235581258821,69261.2229921902,"trade",0,1000,"RUS_Ret","USD"
33418.4596045249,0.0020970520522772,6009.86261691518,"manufacturing",0,1000,"RUS_Rub","USD"
34168.1122579439,0.00381367987638142,13609.8944987434,"manufacturing",0,1000,"RUS_Sal","USD"
14459.204833202,0.0156045397842341,12459.3226367985,"manufacturing",0,1000,"RUS_Tex","USD"
73289.7990906605,0.0204721701007164,38511.2230392338,"manufacturing",0,1000,"RUS_Tra","USD"
4739.25059206078,0.0537027841146149,1052.09444186868,"manufacturing",0,1000,"RUS_Wat","USD"
280396.531964628,0.00528283905666838,117013.981364813,"trade",0,1000,"RUS_Who","USD"
18011.6963885703,0.000143505404303631,653.198555286809,"manufacturing",0,1000,"RUS_Wod","USD"
23178.3088922688,1,332.982261525065,"imports",0,1000,"IMP","USD"
692705.050980947,0.00284540069389535,65759.7266492046,"manufacturing",0,1000,"RoW_americas_Act","USD"
