country,sector,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,KHM,VNM,THA,LAO,AFR,AME,ASI,EUR,OCE
,,CRO,LIV,FOR,FIS,MIN,MFO,MBE,MTO,MTE,MWO,MPA,MCO,MCH,MPH,MRU,MNM,MBA,MFA,MEL,MMA,MTR,MFU,MAO,ELE,WAS,CON,TRW,TRR,TRL,POS,ACF,PUB,VID,TEL,INF,FIN,INS,REA,ACC,CST,ARC,VET,REN,EMP,TRA,SEC,BUI,OFS,ADM,EDU,HEA,RES,SOC,CRE,LIB,BET,SPO,AMO,REP,OPS,final_demand,capital,exports,exports,exports,exports,exports,exports,exports,exports
KHM,MMA,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.183,0.005,0.035,0.000,0.004,0.000,0.070,0.043,0.010,0.387,0.000,0.056,0.026,0.001,0.041,0.579,0.000,1.714,1.419,0.010,1.098,0.000,0.053,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.035,0.000,0.003,0.012,0.000,0.000,0.001,0.021,0.000,0.000,0.001,0.104,2.505,5.667,0.286,0.742,0.003,0.006,0.062,0.206,0.060,0.001
KHM,MTR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.013,0.000,0.003,0.497,0.000,0.001,1.120,0.000,0.851,0.008,0.000,1.586,0.000,0.689,0.000,0.000,0.684,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.240,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,13.652,12.336,0.010,0.075,0.000,0.022,1.515,0.424,15.130,0.067
KHM,MFU,0.016,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.061,0.002,0.012,0.000,0.001,0.000,0.023,0.014,0.003,0.128,0.000,0.002,0.008,0.000,0.015,0.022,0.000,0.535,0.103,0.000,0.193,0.000,0.026,0.000,0.000,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.013,0.001,0.000,0.004,0.000,0.000,0.000,0.013,0.000,0.000,0.000,0.002,0.751,0.533,0.000,0.000,0.000,0.000,0.238,0.006,0.005,0.004
KHM,MAO,0.001,0.000,0.003,0.123,0.001,0.006,0.008,0.002,0.476,0.013,0.434,0.000,0.011,0.001,0.184,0.122,0.041,1.035,0.004,0.014,0.065,0.003,0.263,0.275,0.002,5.911,2.643,0.012,1.927,0.001,1.165,0.020,0.000,2.023,0.001,0.026,0.000,0.003,0.026,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.000,0.001,0.328,0.177,0.031,0.031,0.000,0.002,0.003,0.758,0.000,0.002,0.001,0.071,12.280,15.325,0.202,0.006,0.001,0.006,1.417,2.642,0.505,0.023
KHM,ELE,5.449,0.280,4.090,3.180,0.531,0.122,12.298,7.122,16.756,0.153,7.721,0.000,1.015,0.053,7.321,1.509,0.026,1.908,0.023,0.080,0.036,0.001,0.227,75.062,0.102,4.165,4.181,1.096,6.979,0.009,8.097,0.203,0.001,33.526,0.012,3.194,0.005,120.484,4.429,0.088,6.148,0.001,0.274,0.434,49.092,2.553,0.049,3.394,29.093,4.979,7.275,1.311,0.342,0.854,0.022,15.128,1.184,4.895,0.631,0.543,320.498,0.000,0.007,0.005,0.000,0.000,0.032,0.022,0.045,0.001
KHM,WAS,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.133,2.157,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.002,0.034,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,4.902,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
KHM,CON,0.085,0.000,0.021,1.797,14.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,139.560,0.000,291.695,0.000,0.000,40.604,0.000,3.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.004,0.000,0.000,0.000,0.000,0.695,0.000,0.000,0.000,0.000,0.000,0.600,6.499,1.009,341.341,2645.072,4.582,3.096,0.002,0.173,20.380,13.777,28.389,0.653
KHM,TRW,71.266,12.081,9.175,55.450,5.156,49.750,43.546,18.437,343.937,2.332,8.449,0.001,3.500,0.183,30.781,6.040,5.077,8.419,0.041,0.652,2.130,0.055,2.287,47.936,0.159,136.507,72.930,1.116,39.467,0.018,96.458,0.329,0.000,13.973,0.007,0.973,0.001,19.218,0.712,0.012,1.036,0.003,0.072,0.076,8.621,2.729,0.013,0.543,10.812,2.587,19.148,0.419,0.052,0.142,0.018,4.595,0.171,0.847,1.358,4.661,902.828,173.140,50.399,34.058,0.026,1.899,224.164,151.533,312.254,7.181
KHM,TRR,1.127,0.204,0.135,0.931,0.087,0.836,0.723,0.309,5.781,0.038,0.142,0.000,0.059,0.003,0.515,0.101,0.084,0.141,0.001,0.011,0.036,0.001,0.038,0.921,0.003,2.512,1.157,0.017,0.654,0.000,1.584,0.005,0.000,0.231,0.000,0.013,0.000,0.294,0.012,0.000,0.016,0.000,0.001,0.001,0.126,0.029,0.000,0.009,0.166,0.038,0.318,0.008,0.001,0.002,0.000,0.076,0.003,0.014,0.028,0.079,15.161,5.125,0.830,0.561,0.000,0.031,3.692,2.496,5.143,0.118
KHM,TRL,28.361,1.383,4.234,10.759,2.841,10.232,27.352,7.254,72.996,0.812,2.124,0.000,1.306,0.044,11.482,3.589,4.797,3.664,0.004,0.431,0.463,0.045,0.367,14.051,0.784,104.968,196.795,4.755,105.892,0.180,107.918,0.249,0.020,59.542,0.048,10.184,0.037,70.332,2.427,0.040,4.350,0.008,0.366,0.747,47.598,31.061,0.045,2.168,40.195,9.098,4.258,0.056,0.190,1.416,0.029,11.263,0.815,3.024,1.653,3.099,453.303,19.531,19.973,13.497,0.010,0.752,88.835,60.052,123.745,2.846
